sport,aggression_low,aggression_high,body_awareness_low,body_awareness_high,communication_low,communication_high,focus_low,focus_high,pain_tolerance_low,pain_tolerance_high,trust_low,trust_high,height_low,height_high,body_fat_low,body_fat_high,power_low,power_high,endurance_low,endurance_high,coordination_low,coordination_high,agility_low,agility_high,age_low,age_high
hockey,5,7,4,6,10,10,6,7,6,6,9,9,4,6,4,4,5,5,7,7,8,8,8,8,20,30
squash,5,6,6,7,4,4,7,7,7,7,4,4,5,7,3,3,5,5,7,7,9,9,10,10,20,30
badminton,5,5,6,7,4,4,6,7,4,4,4,4,5,7,4,4,5,5,6,6,9,9,10,10,20,30
rugby,9,10,4,5,10,10,6,6,8,9,9,9,7,7,2,4,8,8,7,7,7,7,8,8,20,30
cycling_medium,6,7,5,6,3,4,7,9,8,8,4,6,4,6,3,3,5,5,7,7,3,3,1,1,20,30
table_tennis,4,4,5,5,3,4,7,7,3,4,3,4,4,4,3,5,5,5,5,5,10,10,8,8,20,30
netball,4,5,4,5,8,9,5,6,3,3,6,7,10,10,4,6,4,4,5,5,8,8,7,7,20,30
swimming_medium,7,7,7,7,1,2,7,7,8,9,3,4,8,8,4,4,5,5,6,6,2,4,3,3,16,28
athletics_medium,5,5,4,4,2,2,5,6,8,8,2,4,4,4,2,2,5,5,7,7,2,4,2,2,20,30
wrestling,8,8,5,6,2,2,8,8,3,5,2,4,3,8,3,3,7,7,6,6,6,6,7,7,20,30
judo,6,7,4,5,2,2,8,9,3,5,2,4,3,7,3,3,7,7,6,6,6,6,8,8,20,30
boxing,9,10,6,7,1,1,9,9,9,9,1,2,3,8,3,3,9,9,6,6,7,7,8,8,20,30
cycling_long,5,5,6,6,6,7,6,7,10,10,4,4,4,6,3,3,1,3,10,10,4,4,3,3,20,30
triathlon,4,5,5,5,2,2,5,7,8,8,2,3,3,7,2,2,2,4,10,10,3,3,2,2,20,35
swimming_long,6,6,7,7,1,2,7,8,10,10,3,4,8,8,4,4,1,3,8,8,3,3,3,3,16,28
cycling_short,8,9,6,6,2,4,7,7,6,7,3,5,4,6,3,3,9,9,1,3,3,3,3,3,20,30
swimming_short,9,9,6,6,1,2,8,8,7,8,2,4,8,8,4,4,7,7,1,3,3,3,3,3,16,28
athletics_jumps,5,7,6,8,2,3,6,7,5,6,2,3,7,7,2,2,9,9,1,3,6,6,5,5,20,30
diving,3,4,10,10,3,3,9,10,4,5,5,7,2,2,2,2,6,6,1,3,8,8,4,4,15,30
athletics_throws,9,9,7,8,2,3,7,7,5,6,2,3,8,8,3,8,9,9,1,3,5,5,5,5,20,30
athletics_short,8,8,5,5,2,2,7,7,6,7,2,2,3,7,2,2,9,9,1,3,3,3,2,2,20,30
athletics_long,3,5,4,4,1,1,6,7,9,9,2,2,1,3,1,1,1,3,10,10,2,2,1,1,20,30
lawn_bowls,1,1,2,2,3,4,6,7,1,1,2,2,3,7,4,8,1,3,1,3,10,10,1,4,20,50
gymnastics,4,5,10,10,2,3,10,10,7,8,2,4,1,1,2,2,9,9,1,3,10,10,8,8,15,28
weightlifting,8,8,5,6,1,2,4,6,5,6,3,3,3,3,3,3,10,10,1,3,2,2,3,3,20,30
shooting,1,2,1,1,1,1,9,10,1,1,1,1,3,7,4,8,1,3,1,3,10,10,1,4,20,50
