sport,aggression,body_awareness,communication,focus,pain_tolerance,trust,height,body_fat,power,endurance,coordination,agility,age
hockey,6,5,10,6.5,6,9,5,4,5,7,8,8,25
squash,5.5,6.5,4,7,7,4,6,3,5,7,9,10,25
badminton,5,6.5,4,6.5,4,4,6,4,5,6,9,10,25
rugby,9.5,4.5,10,6,8.5,9,7,3,8,7,7,8,25
cycling_medium,6.5,5.5,3.5,8,8,5,5,3,5,7,3,1,25
table_tennis,4,5,3.5,7,3.5,3.5,4,4,5,5,10,8,25
netball,4.5,4.5,8.5,5.5,3,6.5,10,5,4,5,8,7,25
swimming_medium,7,7,1.5,7,8.5,3.5,8,4,5,6,3,3,22
athletics_medium,5,4,2,5.5,8,3,4,2,5,7,3,2,25
wrestling,8,5.5,2,8,4,3,5.5,3,7,6,6,7,25
judo,6.5,4.5,2,8.5,4,3,5,3,7,6,6,8,25
boxing,9.5,6.5,1,9,9,1.5,5.5,3,9,6,7,8,25
cycling_long,5,6,6.5,6.5,10,4,5,3,2,10,4,3,25
triathlon,4.5,5,2,6,8,2.5,5,2,3,10,3,2,27.5
swimming_long,6,7,1.5,7.5,10,3.5,8,4,2,8,3,3,22
cycling_short,8.5,6,3,7,6.5,4,5,3,9,2,3,3,25
swimming_short,9,6,1.5,8,7.5,3,8,4,7,2,3,3,22
athletics_jumps,6,7,2.5,6.5,5.5,2.5,7,2,9,2,6,5,25
diving,3.5,10,3,9.5,4.5,6,2,2,6,2,8,4,22.5
athletics_throws,9,7.5,2.5,7,5.5,2.5,8,5.5,9,2,5,5,25
athletics_short,8,5,2,7,6.5,2,5,2,9,2,3,2,25
athletics_long,4,4,1,6.5,9,2,2,1,2,10,2,1,25
lawn_bowls,1,2,3.5,6.5,1,2,5,6,2,2,10,2.5,35
gymnastics,4.5,10,2.5,10,7.5,3,1,2,9,2,10,8,21.5
weightlifting,8,5.5,1.5,5,5.5,3,3,3,10,2,2,3,25
shooting,1.5,1,1,9.5,1,1,5,6,2,2,10,2.5,35
